epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.371,0.18053,0.50118,0.95419,0.99831,0.99953,0.9948,0.99175,0.13303,0.22017,0.3387,0.00333211,0.00333211,0.00333211
2,504.536,0.17224,0.21478,0.92847,0.99552,0.99876,0.99499,0.98289,0.25404,0.29061,0.46677,0.00653347,0.00653347,0.00653347
3,743.354,0.17913,0.20751,0.93105,0.98706,0.99507,0.99455,0.97498,0.19533,0.27727,0.42736,0.00960283,0.00960283,0.00960283
4,981.561,0.15965,0.18518,0.92577,0.99759,0.99876,0.995,0.92296,0.25433,0.22142,0.4532,0.009406,0.009406,0.009406
5,1222.29,0.13418,0.15125,0.91727,0.99932,0.99984,0.995,0.99413,0.23487,0.2635,0.43203,0.009208,0.009208,0.009208
6,1457.95,0.1229,0.13566,0.91306,1,0.9998,0.995,0.99197,0.16083,0.18219,0.34683,0.00901,0.00901,0.00901
7,1693.74,0.11487,0.12449,0.91087,0.99984,1,0.995,0.99182,0.25001,0.22822,0.4596,0.008812,0.008812,0.008812
8,1930.24,0.11064,0.11799,0.91015,0.9995,0.99984,0.995,0.97824,0.20301,0.23016,0.39181,0.008614,0.008614,0.008614
9,2163.04,0.10603,0.112,0.90853,1,1,0.995,0.9167,0.21544,0.26508,0.40617,0.008416,0.008416,0.008416
10,2394.79,0.10423,0.10595,0.90702,0.99953,0.9997,0.995,0.99403,0.14403,0.13852,0.32501,0.008218,0.008218,0.008218
11,2627.2,0.10185,0.10425,0.90779,0.99966,1,0.995,0.96905,0.20178,0.23362,0.39473,0.00802,0.00802,0.00802
12,2859,0.09866,0.10102,0.9063,0.99981,1,0.995,0.99446,0.1952,0.22347,0.38677,0.007822,0.007822,0.007822
13,3091.82,0.09645,0.09904,0.90572,1,0.99993,0.995,0.99476,0.18152,0.20767,0.36752,0.007624,0.007624,0.007624
14,3322.87,0.09584,0.09723,0.90643,0.99996,1,0.995,0.99487,0.18902,0.21398,0.37313,0.007426,0.007426,0.007426
15,3554.28,0.09411,0.09627,0.90648,0.99992,0.99984,0.995,0.99497,0.19273,0.22042,0.37889,0.007228,0.007228,0.007228
16,3785.23,0.09199,0.09147,0.90518,0.99974,1,0.995,0.95348,0.19181,0.21343,0.37397,0.00703,0.00703,0.00703
17,4016.38,0.09156,0.09217,0.90494,0.99969,0.99997,0.995,0.97401,0.18647,0.22069,0.36989,0.006832,0.006832,0.006832
18,4247.05,0.09055,0.09075,0.90493,0.9999,1,0.995,0.99445,0.1865,0.21757,0.36934,0.006634,0.006634,0.006634
19,4477.99,0.08988,0.08884,0.90458,0.99982,1,0.995,0.95902,0.18721,0.21897,0.36738,0.006436,0.006436,0.006436
20,4708.96,0.08829,0.08784,0.90545,0.99968,1,0.995,0.96125,0.18772,0.22578,0.36935,0.006238,0.006238,0.006238
21,4939.67,0.08712,0.08639,0.90409,0.99981,1,0.995,0.96257,0.18712,0.2264,0.36847,0.00604,0.00604,0.00604
22,5170.7,inf,0.08477,0.90424,0.99982,1,0.995,0.96257,0.18618,0.22484,0.36729,0.005842,0.005842,0.005842
23,5401.18,0.08551,0.08293,0.90359,0.99983,1,0.995,0.96261,0.18456,0.22338,0.36638,0.005644,0.005644,0.005644
24,5631.73,0.08326,0.08145,0.90392,1,0.99995,0.995,0.9649,0.18494,0.22487,0.36621,0.005446,0.005446,0.005446
25,5863.1,0.08344,0.08138,0.90284,1,0.99996,0.995,0.96902,0.18288,0.22218,0.36231,0.005248,0.005248,0.005248
26,6099.57,0.0822,0.08151,0.90376,1,0.99997,0.995,0.97181,0.18104,0.21972,0.35998,0.00505,0.00505,0.00505
27,6331.04,inf,0.08126,0.90332,1,0.99997,0.995,0.97283,0.17929,0.2165,0.35743,0.004852,0.004852,0.004852
28,6561.31,inf,0.08043,0.90284,0.99997,0.99984,0.995,0.97425,0.17909,0.2148,0.35648,0.004654,0.004654,0.004654
29,6792.47,0.08027,0.0775,0.9027,1,0.99996,0.995,0.9752,0.18056,0.21286,0.35518,0.004456,0.004456,0.004456
30,7028.93,inf,0.07682,0.90281,0.99996,0.99984,0.995,0.9768,0.17828,0.21117,0.35352,0.004258,0.004258,0.004258
31,7266.13,0.07841,0.0775,0.90232,0.99995,0.99984,0.995,0.97801,0.17612,0.20918,0.35194,0.00406,0.00406,0.00406
32,7503.96,0.0779,0.07689,0.90244,0.99995,0.99984,0.995,0.97899,0.17475,0.20795,0.35041,0.003862,0.003862,0.003862
33,7742.42,0.07756,0.07611,0.90285,0.99986,0.99984,0.995,0.9787,0.17391,0.20729,0.34941,0.003664,0.003664,0.003664
34,7976.62,inf,0.07383,0.90129,0.99988,0.99984,0.995,0.97865,0.17361,0.20757,0.34887,0.003466,0.003466,0.003466
35,8216.77,0.0755,0.07204,0.90137,0.99991,0.99984,0.995,0.9792,0.17351,0.20805,0.34859,0.003268,0.003268,0.003268
36,8473.12,inf,0.07227,0.90186,0.99984,0.99984,0.995,0.98175,0.17233,0.20609,0.3472,0.00307,0.00307,0.00307
37,8744.03,inf,0.07038,0.90181,0.99969,0.99999,0.995,0.98301,0.17212,0.20614,0.34676,0.002872,0.002872,0.002872
38,9014.1,0.0735,0.07038,0.90228,0.99969,0.99999,0.995,0.98526,0.17221,0.20624,0.34688,0.002674,0.002674,0.002674
39,9283.94,0.07253,0.0691,0.90154,0.99969,0.99999,0.995,0.987,0.17115,0.2046,0.34583,0.002476,0.002476,0.002476
40,9523.83,inf,0.06702,0.90231,0.99969,0.99999,0.995,0.98854,0.17073,0.20499,0.34529,0.002278,0.002278,0.002278
41,9779.72,0.04575,0.047,0.91151,1,0.99999,0.995,0.99067,0.17028,0.20405,0.34519,0.00208,0.00208,0.00208
42,10018.3,0.04326,0.03801,0.90913,0.99999,1,0.995,0.99357,0.16993,0.20356,0.34574,0.001882,0.001882,0.001882
43,10252.9,inf,0.03761,0.91031,0.99999,1,0.995,0.99477,0.16925,0.20345,0.34575,0.001684,0.001684,0.001684
44,10487.6,0.03988,0.03533,0.90919,0.99999,1,0.995,0.995,0.16886,0.20315,0.3461,0.001486,0.001486,0.001486
45,10722.2,0.03909,0.03384,0.90762,0.99999,1,0.995,0.99498,0.16805,0.2031,0.34579,0.001288,0.001288,0.001288
46,10955.8,0.03721,0.03064,0.90968,1,1,0.995,0.99499,0.16607,0.20218,0.34358,0.00109,0.00109,0.00109
47,11186.6,0.03568,0.02818,0.90868,1,1,0.995,0.99499,0.16429,0.20127,0.34202,0.000892,0.000892,0.000892
48,11417.1,0.03478,0.02679,0.90895,1,1,0.995,0.99499,0.16333,0.20079,0.34117,0.000694,0.000694,0.000694
49,11647.4,0.03384,0.02535,0.90872,1,1,0.995,0.99499,0.1623,0.20101,0.3404,0.000496,0.000496,0.000496
50,11877.5,inf,0.02333,0.90817,1,1,0.995,0.99499,0.1608,0.20075,0.33888,0.000298,0.000298,0.000298
