               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12627,              0.1444,            0.049473,             0.18429,             0.16355,            0.086398,            0.033599,             0.10684,             0.23867,             0.04304,           0.0033251,           0.0033251,            0.070074
                   1,             0.11014,             0.17787,            0.038525,             0.39432,             0.19527,             0.11497,             0.04561,             0.10357,             0.26129,            0.041108,           0.0066583,           0.0066583,            0.040074
                   2,             0.10833,              0.1796,            0.036459,             0.44973,             0.16606,             0.13002,            0.055387,             0.10335,              0.2433,            0.038247,           0.0099908,           0.0099908,            0.010073
                   3,             0.10599,             0.18267,            0.034531,             0.46117,             0.21153,              0.1654,            0.072723,             0.10021,             0.24644,            0.037077,           0.0099978,           0.0099978,           0.0099978
                   4,             0.10371,             0.17997,            0.033117,             0.51594,             0.20205,              0.1768,            0.082056,            0.099569,             0.24453,            0.035959,           0.0099978,           0.0099978,           0.0099978
                   5,             0.10283,             0.17953,            0.032243,             0.43437,             0.21577,             0.19461,            0.092043,            0.098435,             0.24188,            0.034532,           0.0099961,           0.0099961,           0.0099961
                   6,             0.10163,             0.17859,            0.031425,             0.48148,             0.21364,             0.19858,            0.095549,            0.098293,             0.24278,            0.034665,           0.0099938,           0.0099938,           0.0099938
                   7,             0.10158,             0.17995,            0.031254,             0.48035,               0.232,             0.21072,             0.10198,            0.097522,             0.24149,            0.033998,           0.0099911,           0.0099911,           0.0099911
                   8,             0.10072,             0.17784,            0.030616,             0.40634,             0.25133,             0.22242,             0.10909,            0.096992,             0.24123,            0.033758,           0.0099879,           0.0099879,           0.0099879
                   9,             0.10067,             0.17552,            0.030322,             0.34266,             0.25477,              0.2278,             0.11296,               0.097,             0.24209,             0.03345,           0.0099842,           0.0099842,           0.0099842
                  10,             0.10013,             0.17712,            0.030149,             0.35057,             0.26029,             0.23643,             0.11358,            0.096829,              0.2399,            0.033203,             0.00998,             0.00998,             0.00998
                  11,              0.1001,             0.17734,            0.029801,             0.34279,             0.27149,             0.24004,              0.1189,            0.096488,             0.23983,            0.033281,           0.0099753,           0.0099753,           0.0099753
                  12,            0.099647,             0.17652,            0.029262,             0.32971,             0.30157,             0.25252,             0.12632,            0.096198,             0.23954,            0.033268,           0.0099702,           0.0099702,           0.0099702
                  13,            0.099269,             0.17583,            0.029043,             0.36358,             0.27964,             0.25147,             0.12567,            0.096092,             0.23915,            0.032829,           0.0099645,           0.0099645,           0.0099645
                  14,            0.099471,             0.17444,              0.0291,             0.35473,              0.2774,             0.25191,             0.12775,            0.096126,             0.23997,            0.032618,           0.0099584,           0.0099584,           0.0099584
                  15,            0.098871,             0.17279,            0.028756,             0.35708,             0.28059,              0.2531,             0.12825,            0.095936,             0.23892,            0.032643,           0.0099517,           0.0099517,           0.0099517
                  16,            0.098836,             0.17516,            0.028335,             0.37368,             0.27831,             0.25965,             0.13102,            0.095533,             0.23771,             0.03234,           0.0099446,           0.0099446,           0.0099446
                  17,            0.098502,             0.17271,            0.028132,             0.35836,             0.29377,             0.26106,             0.13302,            0.095457,              0.2386,            0.032405,            0.009937,            0.009937,            0.009937
                  18,            0.098493,             0.17322,            0.028204,             0.39634,              0.2763,             0.26643,             0.13721,             0.09551,             0.23833,            0.032128,           0.0099289,           0.0099289,           0.0099289
                  19,            0.098297,             0.17152,            0.027942,              0.3848,             0.28924,             0.27374,             0.14113,            0.095339,             0.23883,            0.032168,           0.0099203,           0.0099203,           0.0099203
                  20,             0.09802,             0.17236,            0.027904,             0.35362,             0.31596,             0.27213,             0.14065,            0.095246,             0.23767,             0.03213,           0.0099112,           0.0099112,           0.0099112
                  21,            0.097915,             0.17435,            0.027693,             0.39307,             0.29838,             0.27661,             0.14172,            0.094931,             0.23813,            0.031984,           0.0099017,           0.0099017,           0.0099017
                  22,            0.097318,             0.17315,            0.027527,             0.35353,             0.31085,             0.27928,              0.1424,            0.094971,               0.238,            0.032011,           0.0098916,           0.0098916,           0.0098916
                  23,            0.097949,             0.17372,            0.027595,              0.3699,              0.3105,             0.28021,             0.14357,            0.094914,             0.23773,             0.03162,           0.0098811,           0.0098811,           0.0098811
                  24,            0.097539,             0.17091,            0.027294,             0.36587,             0.31453,             0.28004,              0.1449,            0.094838,             0.23771,            0.031689,           0.0098701,           0.0098701,           0.0098701
                  25,            0.097763,             0.17197,            0.027275,             0.37316,             0.31831,             0.28792,             0.14919,            0.094648,             0.23762,            0.031448,           0.0098586,           0.0098586,           0.0098586
                  26,            0.097554,             0.17298,            0.027229,             0.37448,             0.31917,             0.28774,             0.14938,            0.094769,             0.23714,            0.031323,           0.0098467,           0.0098467,           0.0098467
                  27,            0.097197,             0.17084,            0.027059,             0.37384,             0.31748,             0.28737,             0.15011,            0.094559,              0.2368,            0.031263,           0.0098342,           0.0098342,           0.0098342
                  28,            0.097273,              0.1718,             0.02719,             0.40078,             0.31507,             0.29394,             0.15161,            0.094589,               0.237,            0.031431,           0.0098213,           0.0098213,           0.0098213
                  29,            0.097342,             0.17231,            0.026904,             0.38487,             0.32604,             0.29283,             0.15212,            0.094345,              0.2363,            0.031234,           0.0098079,           0.0098079,           0.0098079
                  30,            0.097129,             0.17226,            0.026698,             0.40425,             0.30826,             0.29332,             0.15284,            0.094481,              0.2372,            0.031148,           0.0097941,           0.0097941,           0.0097941
                  31,            0.097114,             0.17124,            0.026595,             0.42013,             0.30295,             0.29556,             0.15377,            0.094267,             0.23597,            0.031144,           0.0097798,           0.0097798,           0.0097798
                  32,            0.096567,             0.16978,            0.026412,             0.39779,             0.32366,             0.30191,             0.15847,            0.094256,             0.23575,            0.030984,            0.009765,            0.009765,            0.009765
                  33,            0.097197,             0.17128,            0.026524,             0.42603,             0.30951,             0.30366,             0.15992,            0.094115,             0.23653,            0.031081,           0.0097497,           0.0097497,           0.0097497
                  34,            0.096854,             0.17003,            0.026416,             0.39268,             0.33398,             0.30497,             0.15943,            0.094142,             0.23638,            0.031041,            0.009734,            0.009734,            0.009734
                  35,            0.096606,             0.16874,            0.026287,             0.41424,             0.31809,             0.30275,             0.15776,            0.094004,             0.23603,            0.030919,           0.0097178,           0.0097178,           0.0097178
                  36,            0.096993,             0.17092,            0.026352,             0.39929,             0.32779,             0.30535,             0.16159,             0.09401,             0.23621,            0.030911,           0.0097011,           0.0097011,           0.0097011
                  37,             0.09659,             0.17066,            0.026206,             0.42168,             0.31516,             0.30601,             0.16219,             0.09396,              0.2366,             0.03108,            0.009684,            0.009684,            0.009684
                  38,            0.096618,             0.17014,            0.026142,             0.41598,             0.32096,             0.30829,             0.16229,             0.09392,             0.23627,            0.030873,           0.0096664,           0.0096664,           0.0096664
                  39,            0.096697,             0.16955,            0.025973,             0.39884,             0.33072,             0.30682,             0.16147,            0.093923,             0.23639,            0.030875,           0.0096484,           0.0096484,           0.0096484
                  40,            0.096239,              0.1675,            0.025951,             0.44513,             0.31466,             0.31153,             0.16481,            0.093775,             0.23594,            0.030833,           0.0096299,           0.0096299,           0.0096299
                  41,            0.096298,             0.17024,             0.02608,             0.41014,              0.3347,             0.31225,             0.16439,            0.093871,             0.23599,            0.030724,            0.009611,            0.009611,            0.009611
                  42,            0.096465,             0.17023,            0.025869,             0.42561,             0.32987,             0.31374,             0.16668,            0.093793,              0.2356,            0.030658,           0.0095916,           0.0095916,           0.0095916
                  43,            0.096099,             0.16728,            0.025879,             0.43467,             0.32356,             0.31314,             0.16704,            0.093654,             0.23569,            0.030632,           0.0095717,           0.0095717,           0.0095717
                  44,             0.09605,             0.16915,            0.025712,             0.43431,             0.32652,              0.3144,             0.16688,            0.093709,             0.23627,            0.030755,           0.0095514,           0.0095514,           0.0095514
                  45,             0.09616,              0.1699,             0.02575,             0.42511,             0.33097,             0.31558,              0.1675,            0.093641,             0.23585,            0.030556,           0.0095307,           0.0095307,           0.0095307
                  46,            0.096351,             0.16919,            0.025563,             0.42038,              0.3379,             0.31797,             0.16864,            0.093525,             0.23572,            0.030491,           0.0095095,           0.0095095,           0.0095095
                  47,            0.095885,             0.16688,            0.025592,             0.42387,             0.33848,             0.32261,             0.17044,            0.093489,             0.23541,            0.030404,           0.0094879,           0.0094879,           0.0094879
                  48,            0.096093,             0.16787,            0.025549,             0.45043,             0.32238,              0.3201,             0.16903,            0.093514,             0.23603,            0.030517,           0.0094659,           0.0094659,           0.0094659
                  49,            0.095694,             0.16855,            0.025574,             0.43804,             0.32583,              0.3192,             0.17016,            0.093609,             0.23529,             0.03042,           0.0094434,           0.0094434,           0.0094434
                  50,            0.095996,               0.167,            0.025582,              0.4594,             0.32332,             0.32366,              0.1736,            0.093428,             0.23564,            0.030528,           0.0094205,           0.0094205,           0.0094205
                  51,            0.096015,             0.16766,            0.025522,             0.40994,             0.34638,             0.32198,             0.17234,            0.093432,             0.23556,            0.030524,           0.0093971,           0.0093971,           0.0093971
                  52,            0.096094,             0.16943,            0.025525,             0.44549,              0.3327,             0.32625,             0.17393,            0.093375,             0.23564,            0.030533,           0.0093733,           0.0093733,           0.0093733
                  53,            0.095889,             0.16673,             0.02555,             0.41412,             0.35021,             0.32457,              0.1729,            0.093325,              0.2357,            0.030508,           0.0093491,           0.0093491,           0.0093491
                  54,            0.095713,             0.16944,            0.025281,             0.41408,             0.34875,             0.32382,             0.17392,            0.093277,             0.23543,            0.030496,           0.0093245,           0.0093245,           0.0093245
                  55,            0.095772,             0.16831,            0.025242,             0.43631,             0.33652,             0.32559,             0.17462,             0.09325,             0.23557,            0.030438,           0.0092995,           0.0092995,           0.0092995
                  56,            0.095505,             0.16752,            0.025232,             0.44984,              0.3345,             0.32766,             0.17455,             0.09319,             0.23501,             0.03034,            0.009274,            0.009274,            0.009274
                  57,            0.095334,             0.16814,            0.025089,             0.45243,             0.33605,             0.32769,             0.17672,            0.093182,             0.23508,            0.030401,           0.0092481,           0.0092481,           0.0092481
                  58,            0.095826,             0.16675,            0.025281,             0.46498,             0.32567,             0.32693,             0.17357,            0.093165,             0.23502,            0.030268,           0.0092219,           0.0092219,           0.0092219
                  59,            0.095294,             0.16622,            0.025134,             0.42106,             0.34801,             0.32566,             0.17444,            0.093131,             0.23487,            0.030317,           0.0091952,           0.0091952,           0.0091952
                  60,            0.095568,             0.16851,            0.025195,             0.44183,             0.33646,             0.32599,             0.17465,            0.093136,             0.23437,            0.030244,           0.0091681,           0.0091681,           0.0091681
                  61,            0.095835,              0.1668,            0.024891,             0.46186,             0.33055,             0.33068,             0.17794,            0.093066,             0.23494,            0.030191,           0.0091406,           0.0091406,           0.0091406
                  62,            0.095387,             0.16793,            0.024948,             0.48082,             0.32389,              0.3278,             0.17642,            0.093032,             0.23456,            0.030383,           0.0091127,           0.0091127,           0.0091127
                  63,            0.095929,             0.16777,            0.024984,             0.44463,             0.34143,             0.33234,             0.17712,            0.093046,             0.23461,            0.030159,           0.0090844,           0.0090844,           0.0090844
                  64,            0.095307,             0.16762,            0.025003,              0.4319,             0.35432,             0.33541,             0.18105,            0.092973,             0.23482,            0.030063,           0.0090557,           0.0090557,           0.0090557
                  65,             0.09505,             0.16761,            0.024931,             0.45603,             0.33874,             0.33314,             0.17828,            0.093029,              0.2349,            0.030173,           0.0090266,           0.0090266,           0.0090266
                  66,            0.095534,             0.16684,            0.024856,             0.43259,             0.34981,             0.33204,             0.17689,            0.093009,             0.23463,            0.030065,           0.0089972,           0.0089972,           0.0089972
                  67,            0.094606,             0.16347,            0.024791,             0.42891,             0.35381,             0.33253,             0.17825,            0.092934,             0.23496,            0.030104,           0.0089673,           0.0089673,           0.0089673
                  68,            0.095233,             0.16667,            0.024865,             0.45929,             0.33636,             0.33355,             0.17841,            0.092873,             0.23494,            0.030047,           0.0089371,           0.0089371,           0.0089371
                  69,            0.095452,             0.16642,            0.024613,             0.45696,             0.34249,             0.33601,             0.18054,            0.092838,             0.23478,            0.030129,           0.0089065,           0.0089065,           0.0089065
                  70,            0.095176,             0.16488,            0.024544,             0.46969,             0.32968,             0.33407,             0.17783,            0.092809,             0.23441,            0.030206,           0.0088755,           0.0088755,           0.0088755
                  71,            0.095547,             0.16683,            0.024731,             0.46183,             0.33935,             0.33481,             0.18026,            0.092802,             0.23487,            0.030015,           0.0088442,           0.0088442,           0.0088442
                  72,            0.094901,             0.16521,            0.024515,             0.44369,             0.35212,             0.33722,              0.1808,            0.092759,              0.2345,            0.030001,           0.0088124,           0.0088124,           0.0088124
                  73,             0.09476,             0.16741,            0.024593,             0.48799,             0.32542,              0.3355,             0.18014,            0.092745,             0.23478,            0.030069,           0.0087804,           0.0087804,           0.0087804
                  74,             0.09531,              0.1676,            0.024671,             0.45413,             0.34921,              0.3384,             0.18269,            0.092787,             0.23474,             0.03001,           0.0087479,           0.0087479,           0.0087479
                  75,             0.09526,              0.1663,            0.024344,             0.46245,             0.34125,             0.33785,             0.18182,            0.092748,             0.23489,            0.030039,           0.0087151,           0.0087151,           0.0087151
                  76,            0.095141,             0.16635,            0.024477,             0.44925,             0.34713,             0.33699,             0.18178,            0.092696,             0.23499,            0.030032,            0.008682,            0.008682,            0.008682
                  77,            0.094782,             0.16544,            0.024394,             0.43745,              0.3594,             0.33882,             0.18284,            0.092723,             0.23512,            0.029995,           0.0086485,           0.0086485,           0.0086485
                  78,             0.09468,             0.16565,            0.024454,             0.47391,             0.34118,             0.33778,             0.18171,            0.092694,             0.23488,            0.030031,           0.0086146,           0.0086146,           0.0086146
                  79,            0.095009,             0.16426,            0.024443,             0.45126,             0.34646,              0.3393,             0.18454,            0.092635,             0.23484,                0.03,           0.0085805,           0.0085805,           0.0085805
                  80,            0.094908,             0.16668,            0.024304,             0.46092,             0.34313,             0.33773,             0.18377,            0.092653,              0.2347,            0.030093,           0.0085459,           0.0085459,           0.0085459
                  81,            0.095215,             0.16823,            0.024415,             0.50013,             0.32504,             0.33784,             0.18329,            0.092611,             0.23463,            0.030063,           0.0085111,           0.0085111,           0.0085111
                  82,            0.094546,             0.16512,            0.024284,             0.49279,             0.33348,             0.34087,             0.18475,            0.092594,             0.23459,            0.030017,           0.0084759,           0.0084759,           0.0084759
                  83,            0.094623,             0.16546,            0.024336,              0.4682,             0.34728,             0.34238,             0.18524,            0.092561,             0.23451,            0.029909,           0.0084404,           0.0084404,           0.0084404
                  84,            0.094593,             0.16507,            0.024165,             0.47081,             0.34289,             0.34219,             0.18573,            0.092545,             0.23442,            0.029866,           0.0084046,           0.0084046,           0.0084046
                  85,            0.094702,             0.16401,            0.024229,             0.45277,             0.35282,             0.34202,             0.18624,            0.092532,             0.23464,            0.029873,           0.0083684,           0.0083684,           0.0083684
                  86,            0.094845,             0.16499,            0.024192,             0.47735,             0.34375,             0.34323,             0.18582,            0.092522,             0.23446,            0.029835,           0.0083319,           0.0083319,           0.0083319
                  87,            0.094519,             0.16383,            0.024225,             0.44224,             0.36047,              0.3433,             0.18549,            0.092472,             0.23451,             0.02983,           0.0082952,           0.0082952,           0.0082952
                  88,            0.094789,              0.1656,            0.024149,             0.46964,             0.34664,             0.34299,             0.18554,            0.092475,             0.23432,             0.02989,           0.0082581,           0.0082581,           0.0082581
                  89,            0.094758,             0.16544,            0.023941,             0.46587,             0.34751,             0.34262,             0.18535,            0.092453,             0.23446,            0.029873,           0.0082207,           0.0082207,           0.0082207
                  90,            0.094691,              0.1652,            0.024268,             0.45775,             0.34924,             0.34187,             0.18502,            0.092476,             0.23476,            0.029903,            0.008183,            0.008183,            0.008183
                  91,            0.094582,             0.16454,            0.023974,             0.49892,              0.3301,             0.34334,             0.18516,            0.092434,             0.23487,            0.029879,            0.008145,            0.008145,            0.008145
                  92,            0.094561,             0.16493,            0.024202,             0.45091,             0.35283,             0.34388,             0.18581,             0.09238,             0.23477,            0.029873,           0.0081068,           0.0081068,           0.0081068
                  93,            0.094287,             0.16463,            0.024178,             0.46313,             0.34487,             0.34222,             0.18529,            0.092379,             0.23452,            0.029866,           0.0080682,           0.0080682,           0.0080682
                  94,            0.094182,             0.16295,            0.024109,             0.44587,             0.35481,             0.34122,             0.18557,            0.092352,              0.2345,            0.029847,           0.0080294,           0.0080294,           0.0080294
                  95,            0.094533,             0.16347,            0.024092,              0.4953,             0.33503,             0.34282,             0.18682,            0.092324,             0.23438,            0.029888,           0.0079903,           0.0079903,           0.0079903
                  96,            0.094746,             0.16568,            0.023953,              0.4745,             0.34337,             0.34335,             0.18704,             0.09233,             0.23458,            0.029895,           0.0079509,           0.0079509,           0.0079509
                  97,            0.094815,             0.16578,            0.023998,             0.45571,             0.35567,              0.3457,             0.18794,            0.092305,             0.23472,            0.029837,           0.0079112,           0.0079112,           0.0079112
                  98,            0.094182,             0.16367,            0.023765,             0.49644,             0.33976,             0.34429,             0.18739,            0.092301,             0.23459,            0.029849,           0.0078713,           0.0078713,           0.0078713
                  99,            0.094204,             0.16369,            0.023752,             0.47063,              0.3522,             0.34525,              0.1875,            0.092315,             0.23481,             0.02983,           0.0078311,           0.0078311,           0.0078311
                 100,            0.094378,             0.16418,            0.024021,              0.4635,             0.35511,             0.34641,             0.18719,            0.092306,             0.23493,            0.029821,           0.0077907,           0.0077907,           0.0077907
                 101,            0.094427,             0.16364,            0.023755,              0.4473,             0.36317,             0.34629,             0.18746,             0.09227,             0.23476,            0.029801,             0.00775,             0.00775,             0.00775
                 102,            0.094112,             0.16346,            0.023866,             0.47126,             0.35143,             0.34677,             0.18785,            0.092265,              0.2348,            0.029748,           0.0077091,           0.0077091,           0.0077091
                 103,            0.093636,             0.16437,            0.023859,             0.45793,             0.35657,             0.34563,             0.18764,             0.09234,             0.23507,            0.029816,           0.0076679,           0.0076679,           0.0076679
                 104,             0.09468,             0.16579,            0.023722,             0.46846,              0.3506,             0.34577,             0.18818,            0.092312,             0.23507,            0.029789,           0.0076265,           0.0076265,           0.0076265
                 105,            0.094569,             0.16254,            0.023751,             0.48909,             0.34118,             0.34588,             0.18786,            0.092296,             0.23488,            0.029811,           0.0075848,           0.0075848,           0.0075848
                 106,            0.094003,             0.16174,            0.023612,             0.47937,             0.34524,             0.34518,             0.18746,            0.092279,             0.23485,            0.029829,            0.007543,            0.007543,            0.007543
                 107,            0.094327,             0.16448,            0.023782,             0.46946,             0.35124,               0.346,             0.18758,            0.092252,             0.23472,            0.029819,           0.0075009,           0.0075009,           0.0075009
                 108,            0.094126,             0.16192,            0.023685,             0.46704,             0.35256,             0.34634,             0.18826,            0.092236,             0.23459,            0.029803,           0.0074585,           0.0074585,           0.0074585
                 109,            0.094091,             0.16349,            0.023438,             0.44636,             0.36173,             0.34637,             0.18792,            0.092225,             0.23463,            0.029804,            0.007416,            0.007416,            0.007416
                 110,            0.093977,             0.16378,            0.023679,             0.44611,             0.36269,             0.34515,             0.18691,            0.092231,             0.23483,            0.029815,           0.0073733,           0.0073733,           0.0073733
                 111,            0.093771,             0.16206,            0.023694,             0.45824,             0.35504,             0.34496,             0.18697,            0.092218,             0.23476,            0.029816,           0.0073303,           0.0073303,           0.0073303
                 112,            0.094172,             0.16305,            0.023685,             0.45605,             0.35367,             0.34465,             0.18699,            0.092214,             0.23488,            0.029807,           0.0072872,           0.0072872,           0.0072872
                 113,            0.094154,             0.16449,             0.02369,             0.47108,             0.34945,               0.345,               0.187,            0.092211,             0.23484,            0.029814,           0.0072438,           0.0072438,           0.0072438
                 114,            0.093677,             0.16241,            0.023509,             0.48793,             0.34161,             0.34598,              0.1879,            0.092182,              0.2348,            0.029789,           0.0072003,           0.0072003,           0.0072003
                 115,            0.094173,             0.16232,            0.023512,             0.47858,             0.34683,             0.34622,             0.18855,            0.092157,             0.23485,            0.029767,           0.0071566,           0.0071566,           0.0071566
                 116,            0.094138,             0.16184,            0.023644,             0.47988,             0.34502,             0.34615,             0.18843,            0.092148,             0.23476,            0.029779,           0.0071127,           0.0071127,           0.0071127
                 117,            0.094013,             0.16449,            0.023421,             0.44083,             0.36868,             0.34761,             0.18943,            0.092143,             0.23471,             0.02978,           0.0070686,           0.0070686,           0.0070686
                 118,            0.094055,             0.16235,            0.023375,              0.4726,             0.34953,             0.34646,             0.18922,            0.092136,              0.2348,            0.029778,           0.0070243,           0.0070243,           0.0070243
                 119,            0.094247,             0.16404,            0.023389,             0.48714,             0.34317,             0.34669,             0.18938,            0.092124,             0.23482,            0.029767,           0.0069799,           0.0069799,           0.0069799
                 120,            0.093772,             0.16222,            0.023356,             0.44676,             0.36684,             0.34755,             0.18897,            0.092117,             0.23484,            0.029751,           0.0069353,           0.0069353,           0.0069353
                 121,            0.093687,              0.1632,             0.02337,             0.46394,             0.35452,             0.34635,             0.18864,            0.092106,             0.23478,            0.029747,           0.0068906,           0.0068906,           0.0068906
                 122,            0.094228,             0.16207,            0.023172,             0.45021,             0.36231,             0.34686,             0.18841,             0.09209,              0.2347,            0.029742,           0.0068457,           0.0068457,           0.0068457
                 123,             0.09385,             0.16234,             0.02326,             0.44592,             0.36642,             0.34646,             0.18844,             0.09208,             0.23476,            0.029728,           0.0068006,           0.0068006,           0.0068006
                 124,            0.093926,             0.16188,            0.023342,             0.44065,             0.36839,             0.34591,             0.18841,             0.09207,             0.23479,            0.029736,           0.0067555,           0.0067555,           0.0067555
                 125,            0.093663,             0.16192,            0.023226,             0.45734,             0.35949,             0.34591,             0.18847,            0.092063,              0.2348,            0.029738,           0.0067101,           0.0067101,           0.0067101
                 126,            0.093364,             0.16226,            0.023331,             0.46907,             0.35538,             0.34707,             0.18925,            0.092051,             0.23478,            0.029741,           0.0066647,           0.0066647,           0.0066647
                 127,            0.093717,              0.1617,            0.023174,             0.46113,             0.36038,             0.34732,             0.18956,            0.092044,             0.23486,            0.029734,           0.0066191,           0.0066191,           0.0066191
                 128,            0.093728,             0.16169,            0.023254,             0.45426,             0.36333,             0.34763,             0.18955,            0.092034,             0.23495,            0.029725,           0.0065734,           0.0065734,           0.0065734
                 129,            0.093757,             0.16208,            0.023421,             0.47816,             0.34834,             0.34728,             0.18938,            0.092026,             0.23498,            0.029731,           0.0065276,           0.0065276,           0.0065276
                 130,            0.093396,             0.16208,            0.023032,             0.45955,              0.3577,             0.34738,             0.18955,            0.092013,             0.23495,            0.029725,           0.0064816,           0.0064816,           0.0064816
                 131,            0.093141,             0.16223,            0.023165,             0.49197,             0.34069,             0.34756,             0.18949,             0.09201,             0.23505,            0.029718,           0.0064356,           0.0064356,           0.0064356
                 132,            0.093592,             0.16131,            0.023096,             0.47632,              0.3485,             0.34741,             0.18981,            0.092001,             0.23497,            0.029718,           0.0063895,           0.0063895,           0.0063895
                 133,            0.093612,             0.16249,            0.023085,             0.44725,               0.366,             0.34751,              0.1899,            0.091997,              0.2351,            0.029716,           0.0063432,           0.0063432,           0.0063432
                 134,            0.093288,             0.16184,            0.022995,             0.47264,             0.35192,             0.34752,             0.18968,             0.09199,              0.2351,            0.029712,           0.0062969,           0.0062969,           0.0062969
                 135,             0.09354,             0.16094,            0.023064,             0.47631,             0.34976,             0.34798,             0.19004,             0.09198,             0.23512,            0.029701,           0.0062505,           0.0062505,           0.0062505
                 136,            0.093818,             0.16287,            0.023084,              0.4584,              0.3575,             0.34774,             0.19023,            0.091966,             0.23502,            0.029702,            0.006204,            0.006204,            0.006204
                 137,            0.092997,             0.15918,            0.022984,             0.45485,             0.35967,             0.34815,             0.19061,             0.09196,             0.23504,            0.029703,           0.0061574,           0.0061574,           0.0061574
                 138,            0.093626,             0.16236,             0.02288,             0.45763,             0.35886,             0.34843,             0.19069,            0.091958,             0.23491,            0.029697,           0.0061107,           0.0061107,           0.0061107
                 139,            0.093376,             0.16251,            0.023024,             0.48394,              0.3452,             0.34871,             0.19068,            0.091955,             0.23496,            0.029697,            0.006064,            0.006064,            0.006064
                 140,            0.093172,             0.15917,            0.023047,             0.47657,              0.3493,             0.34889,             0.19062,            0.091949,             0.23489,            0.029694,           0.0060172,           0.0060172,           0.0060172
                 141,             0.09354,             0.16118,            0.022703,             0.46587,             0.35425,             0.34927,             0.19101,            0.091942,             0.23487,            0.029684,           0.0059704,           0.0059704,           0.0059704
                 142,            0.093479,             0.16189,            0.022901,             0.45719,             0.35871,             0.34847,             0.19099,            0.091938,             0.23481,            0.029681,           0.0059235,           0.0059235,           0.0059235
                 143,            0.093232,             0.16119,            0.022891,             0.46889,             0.35178,             0.34834,             0.19125,            0.091939,             0.23487,            0.029685,           0.0058766,           0.0058766,           0.0058766
                 144,            0.093067,             0.16004,            0.022906,             0.46051,             0.35632,             0.34863,             0.19118,            0.091938,             0.23487,            0.029688,           0.0058296,           0.0058296,           0.0058296
                 145,            0.093427,             0.16115,            0.022869,             0.45884,             0.35703,             0.34878,             0.19114,            0.091935,              0.2349,            0.029689,           0.0057826,           0.0057826,           0.0057826
                 146,             0.09334,             0.16031,            0.022983,             0.46362,              0.3548,             0.34864,             0.19116,            0.091933,             0.23489,             0.02969,           0.0057355,           0.0057355,           0.0057355
                 147,            0.093314,             0.16176,            0.022794,             0.44508,             0.36625,             0.34894,             0.19114,             0.09193,             0.23491,            0.029682,           0.0056884,           0.0056884,           0.0056884
                 148,            0.093165,             0.15961,            0.022725,             0.45784,             0.35884,              0.3489,             0.19126,            0.091926,             0.23493,            0.029681,           0.0056413,           0.0056413,           0.0056413
